,iteration,message,category,filename,lineno
21,21,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
22,22,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
23,23,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
24,24,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
25,25,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
26,26,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
27,27,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
28,28,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
29,29,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
30,30,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
31,31,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
32,32,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
33,33,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
34,34,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
35,35,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
36,36,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
37,37,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
38,38,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
39,39,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
40,40,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
41,41,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
42,42,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
43,43,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
44,44,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
45,45,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
46,46,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
47,47,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
48,48,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
49,49,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
50,50,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
51,51,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_1040/9505350.py,263
